tau_SSP3-6.0-inflation adjusted,tau_SSP3-4.5-inflation adjusted,tau_SSP3-3.4-inflation adjusted,CO_2_intensity_SSP3-6.0,CO_2_intensity_SSP3-4.5,CO_2_intensity_SSP3-3.4
1.23704918,16.35201973,16.34525187,0.42461158,0.42461158,0.42461158
1.589605346,18.00732829,17.99971445,0.41504147,0.41504147,0.41504147
2.042639207,19.66263685,19.65417703,0.40547136,0.40547136,0.40547136
2.624786675,20.6543674,28.72748315,0.39950846,0.39935722,0.39773809
3.372844829,21.64609795,37.80078927,0.39354556,0.39324309,0.39000481
4.334097834,22.63782851,46.87409539,0.38758265,0.38712895,0.38227153
5.56930573,23.62955906,55.94740151,0.38161975,0.38101481,0.37453826
7.15654503,24.62128961,65.02070764,0.37565685,0.37490067,0.36680498
9.196143874,25.61302016,74.09401376,0.36969394,0.36878654,0.35907171
11.81702369,26.60475072,83.16731988,0.36373104,0.3626724,0.35133843
15.18484821,27.59648127,92.240626,0.35776814,0.35655826,0.34360516
19.51249496,28.58821182,101.3139321,0.35180524,0.35044412,0.33587188
25.07351107,29.57994237,110.3872382,0.34584233,0.34432999,0.32813861
25.08527905,31.7562747,115.5517045,0.33988264,0.33566799,0.31482964
25.09704704,33.93260702,120.7161707,0.33392295,0.327006,0.30152068
25.10881502,36.10893935,125.880637,0.32796326,0.318344,0.28821171
25.12058301,38.28527167,131.0451032,0.32200356,0.30968201,0.27490275
25.13235099,40.461604,136.2095694,0.31604387,0.30102001,0.26159378
25.14411898,42.63793632,141.3740357,0.31008418,0.29235802,0.24828482
25.15588696,44.81426865,146.5385019,0.30412448,0.28369602,0.23497585
25.16765495,46.99060097,151.7029682,0.29816479,0.27503403,0.22166689
25.17942293,49.1669333,156.8674344,0.2922051,0.26637203,0.20835792
25.19119092,51.34326562,162.0319007,0.28624541,0.25771004,0.19504896
26.28176245,54.36273875,169.0936262,0.28279258,0.25165068,0.1882625
27.37233398,57.38221187,176.1553518,0.27933975,0.24559133,0.18147604
28.46290551,60.40168499,183.2170774,0.27588692,0.23953198,0.17468958
29.55347703,63.42115811,190.278803,0.27243409,0.23347263,0.16790312
30.64404856,66.44063124,197.3405286,0.26898126,0.22741328,0.16111666
31.73462009,69.46010436,204.4022542,0.26552844,0.22135392,0.1543302
32.82519162,72.47957748,211.4639798,0.26207561,0.21529457,0.14754374
33.91576315,75.4990506,218.5257054,0.25862278,0.20923522,0.14075728
35.00633468,78.51852373,225.587431,0.25516995,0.20317587,0.13397082
36.09690621,81.53799685,232.6491566,0.25171712,0.19711652,0.12718436
36.09690621,88.65657999,240.7216157,0.24985396,0.18990504,0.12250135
36.09690621,95.77516313,248.7940749,0.24799081,0.18269357,0.11781834
36.09690621,102.8937463,256.8665341,0.24612765,0.17548209,0.11313532
36.09690621,110.0123294,264.9389932,0.24426449,0.16827061,0.10845231
36.09690621,117.1309126,273.0114524,0.24240134,0.16105914,0.1037693
36.09690621,124.2494957,281.0839116,0.24053818,0.15384766,0.09908629
36.09690621,131.3680788,289.1563707,0.23867502,0.14663619,0.09440328
36.09690621,138.486662,297.2288299,0.23681187,0.13942471,0.08972027
36.09690621,145.6052451,305.3012891,0.23494871,0.13221323,0.08503725
36.09690621,152.7238283,313.3737483,0.23308555,0.12500176,0.08035424
37.67068485,157.6726576,333.7473255,0.22929882,0.12116015,0.07657533
39.24446349,162.6214868,354.1209027,0.22551209,0.11731854,0.07279641
40.81824214,167.5703161,374.4944799,0.22172536,0.11347693,0.06901749
42.39202078,172.5191454,394.8680571,0.21793863,0.10963532,0.06523857
43.96579943,177.4679746,415.2416343,0.2141519,0.10579371,0.06145966
45.53957807,182.4168039,435.6152115,0.21036517,0.10195211,0.05768074
47.11335672,187.3656332,455.9887887,0.20657844,0.0981105,0.05390182
48.68713536,192.3144625,476.3623659,0.20279171,0.09426889,0.05012291
50.26091401,197.2632917,496.7359431,0.19900498,0.09042728,0.04634399
51.83469265,202.212121,517.1095203,0.19521825,0.08658567,0.04256507
53.90988596,208.8724219,544.5523233,0.19152843,0.08457123,0.04001243
55.98507927,215.5327229,571.9951263,0.18783861,0.08255679,0.03745979
58.06027258,222.1930238,599.4379293,0.1841488,0.08054236,0.03490716
60.13546589,228.8533247,626.8807323,0.18045898,0.07852792,0.03235452
62.2106592,235.5136256,654.3235353,0.17676916,0.07651348,0.02980188
64.28585251,242.1739266,681.7663383,0.17307934,0.07449904,0.02724924
66.36104582,248.8342275,709.2091413,0.16938952,0.0724846,0.0246966
68.43623912,255.4945284,736.6519443,0.1656997,0.07047017,0.02214396
70.51143243,262.1548293,764.0947473,0.16200988,0.06845573,0.01959132
72.58662574,268.8151302,791.5375503,0.15832006,0.06644129,0.01703868
74.00672611,279.5124183,823.9230208,0.15553561,0.06441598,0.0151583
75.42682649,290.2097065,856.3084913,0.15275115,0.06239067,0.01327792
76.84692686,300.9069946,888.6939618,0.14996669,0.06036536,0.01139754
78.26702723,311.6042827,921.0794323,0.14718223,0.05834004,0.00951716
79.6871276,322.3015708,953.4649028,0.14439777,0.05631473,0.00763678
81.10722798,332.9988589,985.8503733,0.14161331,0.05428942,0.0057564
82.52732835,343.696147,1018.235844,0.13882885,0.05226411,0.00387602
83.94742872,354.3934351,1050.621314,0.13604439,0.0502388,0.00199564
85.36752909,365.0907232,1083.006785,0.13325993,0.04821349,0.00011526
86.78762946,375.7880113,1115.392255,0.13047547,0.04618818,-0.00176512
88.55268838,394.6393263,1151.290911,0.12836959,0.04406613,-0.00296959
90.31774729,413.4906414,1187.189567,0.1262637,0.04194408,-0.00417406
92.0828062,432.3419565,1223.088223,0.12415782,0.03982203,-0.00537854
93.84786512,451.1932715,1258.986879,0.12205194,0.03769998,-0.00658301
95.61292403,470.0445866,1294.885472,0.11994606,0.03557793,-0.00778748
97.37798294,488.8959017,1330.784141,0.11784018,0.03345588,-0.00899196
99.14304186,507.7472167,1366.68281,0.1157343,0.03133383,-0.01019643
100.9081008,526.5985318,1402.581478,0.11362841,0.02921178,-0.0114009
102.6731597,545.4498469,1438.480147,0.11152253,0.02708974,-0.01260538
104.4382186,564.3011619,1474.378816,0.10941665,0.02496769,-0.01380985
